id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,,,,,street,ref,Street[code],GAT_KODAS,,5,completed,public,public,,,Adreso suteikto žemės sklypui ir/arba pastatui priklausomybė gatvei,Adreso suteikto žemės sklypui ir/arba pastatui gatvės kodas
,,,,,building_designator,string,,NR,,5,completed,public,public,locn:locatorDesignator,,Pastato numeris,Adreso suteikto žemės sklypui ir/arba pastatui numeris
,,,,,has_building_designator,ref,LocatorDesignator,,"code,has_building_designator.designator, has_building_designator.type",1,completed,public,public,cv:hasLocatorDesignator,,,
,,,,,has_building_designator.designator,string,,NR,,5,completed,public,public,cv:hasLocatorDesignator,,Pastato numeris,Adreso suteikto žemės sklypui ir/arba pastatui numeris
,,,,,has_building_designator.type,string,,,"'buildingIdentifier'",5,completed,public,public,ad:LocatorDesignator.type,,,
,,,,,housing_designator,string,,KORPUSO_NR,,5,completed,public,public,locn:locatorDesignator,,Korpuso numeris,Adreso suteikto korpusui numeris
,,,,,has_housing_designator,ref,LocatorDesignator,,"code,has_housing_designator.designator, has_housing_designator.type",1,completed,public,public,cv:hasLocatorDesignator,,,
,,,,,has_housing_designator.designator,string,,KORPUSO_NR,,5,completed,public,public,cv:hasLocatorDesignator,,Korpuso numeris,Adreso suteikto korpusui numeris
,,,,,has_housing_designator.type,string,,,"'housingIdentifier'",5,completed,public,public,ad:LocatorDesignator.type,,,
,,,,,post_code,string,,PASTO_KODAS,,5,completed,public,public,locn:postCode,,Adreso suteikto žemės sklypui ir/arba pastatui pašto kodas,Adreso suteikto žemės sklypui ir/arba pastatui universaliųjų pašto paslaugų teikėjo adresui priskirtas pašto kodas
,,,,,geometry,ref,Geometry,,,5,completed,public,public,locn:geometry,,,
,,,,,geometry.coordinates,"geometry(point,3346)",,,"point(x_coordinate, y_coordinate)",5,completed,public,public,locn:geometry,,,
,,,,,geometry.x_coordinate,integer,,X,,2,completed,public,public,cv:longitude,,Adreso vietos taško X koordinatė,Adreso vietos taško X koordinatė LKS94 koordinačių sistemoje
,,,,,geometry.y_coordinate,integer,,Y,,2,completed,public,public,cv:latitude,,Adreso vietos taško Y koordinatė,Adreso vietos taško Y koordinatė LKS94 koordinačių sistemoje
,,,,,_created,date,D,NUO,,5,completed,public,public,dct:created,,Adreso suteikto žemės sklypui ir/arba pastatui objekto atributų rinkinio galiojimo pradžia,Adreso suteikto žemės sklypui ir/arba pastatui objekto atributų rinkinio galiojimo pradžios data
,,,,,_updated,date,D,IKI,,5,completed,public,public,dct:updated,,Adreso suteikto žemės sklypui ir/arba pastatui objekto atributų rinkinio galiojimo pabaiga,Adreso suteikto žemės sklypui ir/arba pastatui objekto atributų rinkinio galiojimo pabaigos data
,,,,,registered,date,D,AOB_NUO,,4,completed,package,public,,,Adreso suteikto žemės sklypui ir/arba pastatui objekto įregistravimo data,Adreso suteikto žemės sklypui ir/arba pastatui objekto įregistravimo data
